epoch,open,high,low,close
1781194500,1.15098,1.15108,1.15084,1.151
1781194800,1.151,1.15108,1.15074,1.15106
1781195100,1.15108,1.15114,1.15092,1.15093
1781195400,1.15091,1.15124,1.15078,1.15104
1781195700,1.15104,1.15108,1.15082,1.15086
1781196000,1.15086,1.15102,1.15086,1.15098
1781196300,1.15099,1.15102,1.15084,1.15091
1781196600,1.1509,1.15099,1.15082,1.15086
1781196900,1.15087,1.15103,1.15086,1.1509
1781197200,1.15088,1.15094,1.15054,1.15067
1781197500,1.15066,1.15072,1.15057,1.15072
1781197800,1.1507,1.15076,1.15036,1.15049
1781198100,1.15048,1.15054,1.15034,1.1504
1781198400,1.1504,1.15044,1.1503,1.1504
1781198700,1.15041,1.1524,1.15036,1.15228
1781199000,1.15229,1.15644,1.15229,1.15599
1781199300,1.15597,1.15664,1.15516,1.1561
1781199600,1.1561,1.15648,1.15561,1.15606
1781199900,1.15608,1.15632,1.15514,1.15522
1781200200,1.15522,1.15566,1.15462,1.15506
1781200500,1.15508,1.15526,1.15478,1.15511
1781200800,1.15512,1.1554,1.15421,1.15437
1781201100,1.15436,1.1553,1.15413,1.15468
1781201400,1.15467,1.15506,1.15461,1.15496
